Gene,logFC,pvalue,literature_mentions,document_occurrences,cooccurrence_score,Entrez Gene Name,Location,Type(s),Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,abs_logFC,significance_p,neg_log10_p,abs_logFC_scaled,neg_log10_p_scaled,literature_mentions_scaled,document_occurrences_scaled,cooccurrence_score_scaled,gene_evidence_score,rank
TIMP4,-3.199,1.14e-13,0,0,0,TIMP metallopeptidase inhibitor 4,Extracellular Space,other,,,,,,,,,,,,,,,3.199,1.14e-13,12.943095148663527,0.2159336697909156,0.05532663187023146,0.0,0.0,0.0,0.057018391925740985,215
SOX8,-2.548,9.81e-28,0,0,0,SRY-box transcription factor 8,Nucleus,transcription regulator,,,,,,,,,,,,,,,2.548,9.81e-28,27.008330992620053,0.0985940879596251,0.14892380150511317,0.0,0.0,0.0,0.056949767968203314,216
ZDHHC21,2.736,1.54e-23,0,0,0,zinc finger DHHC-type palmitoyltransferase 21,Plasma Membrane,enzyme,,,,,,,,,,,,,,,2.736,1.54e-23,22.812479279163536,0.1324801730353281,0.12100248906185682,0.0,0.0,0.0,0.056746656872529826,217
H2BC8,-2.916,1.51e-19,0,0,0,H2B clustered histone 8,Nucleus,other,,,,,,,,,,,,,,,2.916,1.51e-19,18.82102305270683,0.16492429704397976,0.09444132722549878,0.0,0.0,0.0,0.05659519121517065,218
MELK,2.28,3.68e-33,0,0,0,maternal embryonic leucine zipper kinase,Cytoplasm,kinase,,,,,,,,,,,,,,,2.28,3.68e-33,32.43415218132648,0.050288392213410193,0.18502995086812565,0.0,0.0,0.0,0.05631516615971345,219
PYCARD,2.103,6.9300000000000005e-37,0,0,0,PYD and CARD domain containing,Cytoplasm,other,,,,,,,,,,,,,,,2.103,6.9300000000000005e-37,36.159266765388196,0.018385003604902694,0.20981874115233598,0.0,0.0,0.0,0.056131686009064534,220
ACP5,2.029,2.84e-38,0,0,0,"acid phosphatase 5, tartrate resistant",Cytoplasm,phosphatase,,,,,,,,,,,,,,,2.029,2.84e-38,37.54668165995296,0.005046863734679163,0.21905129926093936,0.0,0.0,0.0,0.055772197562170674,221
HAO2,-2.929,9.33e-19,0,0,0,hydroxyacid oxidase 2,Cytoplasm,enzyme,,,,,,,,,,,,,,,2.929,9.33e-19,18.0301183562535,0.16726748377793793,0.08917824867777757,0.0,0.0,0.0,0.05574805892503198,222
RIMS3,2.465,1.51e-28,0,0,0,regulating synaptic membrane exocytosis 3,Plasma Membrane,other,,,,,,,,,,,,,,,2.465,1.51e-28,27.82102305270683,0.083633741888969,0.1543318641535292,0.0,0.0,0.0,0.0553097144161761,223
ADIPOQ,-3.362,9.57e-09,0,0,0,"adiponectin, C1Q and collagen domain containing",Extracellular Space,other,,,,,,,,,,,,,,,3.362,9.57e-09,8.019088062223156,0.2453136265320836,0.022559806509749165,0.0,0.0,0.0,0.05470267693385402,224
ACACB,-2.716,1.75e-22,0,0,0,acetyl-CoA carboxylase beta,Cytoplasm,enzyme,,,,,,,,,,,,,,,2.716,1.75e-22,21.756961951313706,0.12887527036770013,0.11397854467277166,0.0,0.0,0.0,0.05426969024173294,225
SPC25,2.408,4.5600000000000004e-29,0,0,0,SPC25 component of NDC80 kinetochore complex,Cytoplasm,other,,,,,,,,,,,,,,,2.408,4.5600000000000004e-29,28.341035157335565,0.07335976928622928,0.15779228683745034,0.0,0.0,0.0,0.05412002556660844,226
PLCB4,-2.374,1.0000000000000001e-29,0,0,0,phospholipase C beta 4,Cytoplasm,enzyme,,,,,,,,,,,,,,,2.374,1.0000000000000001e-29,29.0,0.06723143475126175,0.162177371086769,0.0,0.0,0.0,0.0539906297219446,227
PER1,-2.691,8.079999999999999e-23,0,0,0,period circadian regulator 1,Nucleus,transcription regulator,,,,,,,,,,,,,,,2.691,8.079999999999999e-23,22.092588639225415,0.12436914203316507,0.11621197384459486,0.0,0.0,0.0,0.053926821867781735,228
ESYT3,2.305,3.79e-31,0,0,0,extended synaptotagmin 3,Plasma Membrane,other,,,,,,,,,,,,,,,2.305,3.79e-31,30.421360790031926,0.05479452054794526,0.17163582229604252,0.0,0.0,0.0,0.05386785968359968,229
ADM,-2.547,6.88e-26,0,0,0,adrenomedullin,Extracellular Space,other,,,,,,,,,,,,,,,2.547,6.88e-26,25.16241156176449,0.09841384282624371,0.13664012307846607,0.0,0.0,0.0,0.05384279933486526,230
PLIN1,-3.307,2.49e-09,0,0,0,perilipin 1,Cytoplasm,other,,,,,,,,,,,,,,,3.307,2.49e-09,8.603800652904264,0.23540014419610672,0.026450778843579294,0.0,0.0,0.0,0.05369272355011617,231
DHRS9,2.9,3.87e-18,0,0,0,dehydrogenase/reductase 9,Cytoplasm,enzyme,,,,,,,,,,,,,,,2.9,3.87e-18,17.41228903498109,0.16204037490987738,0.08506690092434588,0.0,0.0,0.0,0.053674800213061945,232
LTB,2.785,1.64e-20,0,0,0,lymphotoxin beta,Extracellular Space,cytokine,,,,,,,,,,,,,,,2.785,1.64e-20,19.785156151952304,0.14131218457101663,0.10085715489037628,0.0,0.0,0.0,0.053476725636797395,233
ESRRG,-2.586,8.26e-25,0,0,0,estrogen related receptor gamma,Nucleus,ligand-dependent nuclear receptor,,,,,,,,,,,,,,,2.586,8.26e-25,24.083019952679617,0.10544340302811822,0.12945730718694343,0.0,0.0,0.0,0.053453007402359504,234
IFIT1,2.625,6.67e-24,0,0,0,interferon induced protein with tetratricopeptide repeats 1,Cytoplasm,other,,,,,,,,,,,,,,,2.625,6.67e-24,23.17587416608345,0.11247296322999278,0.1234207018279162,0.0,0.0,0.0,0.053349768102977604,235
HTR3A,3.104,2.14e-13,0,0,0,5-hydroxytryptamine receptor 3A,Plasma Membrane,ion channel,,,,,,,,,,,,,,,3.104,2.14e-13,12.669586226650809,0.19881038211968277,0.05350656562645939,0.0,0.0,0.0,0.05313871783055141,236
SMPD3,2.184,2.6500000000000002e-33,0,0,0,sphingomyelin phosphodiesterase 3,Cytoplasm,enzyme,,,,,,,,,,,,,,,2.184,2.6500000000000002e-33,32.57675412606319,0.03298485940879603,0.1859788960944882,0.0,0.0,0.0,0.05309169590538126,237
RHPN2,-2.887,9.62e-18,0,0,0,rhophilin Rho GTPase binding protein 2,Cytoplasm,other,,,,,,,,,,,,,,,2.887,9.62e-18,17.016824927962187,0.1596971881759192,0.08243528340155408,0.0,0.0,0.0,0.05254825848557236,238
KLF9,-2.387,1.53e-28,0,0,0,KLF transcription factor 9,Nucleus,transcription regulator,,,,,,,,,,,,,,,2.387,1.53e-28,27.815308569182402,0.06957462148521992,0.15429383709946873,0.0,0.0,0.0,0.05248838357191117,239
LINC-PINT,-2.437,2e-27,0,0,0,"long intergenic non-protein coding RNA, p53 induced transcript",Other,other,,,,,,,,,,,,,,,2.437,2e-27,26.69897000433602,0.07858687815428983,0.14686515753923352,0.0,0.0,0.0,0.05243366501566635,240
SERHL,-3.047,3.79e-14,0,0,0,--,Cytoplasm,other,,,,,,,,,,,,,,,3.047,3.79e-14,13.421360790031928,0.18853640951694312,0.05850925254309616,0.0,0.0,0.0,0.052334595039162664,241
ZNF677,-2.153,1.6100000000000002e-33,0,0,0,zinc finger protein 677,Other,other,,,,,,,,,,,,,,,2.153,1.6100000000000002e-33,32.79317412396815,0.0273972602739726,0.1874190638585428,0.0,0.0,0.0,0.052334218019430216,242
WFDC12,2.871,1.17e-17,0,0,0,WAP four-disulfide core domain 12,Extracellular Space,other,,,,,,,,,,,,,,,2.871,1.17e-17,16.931814138253838,0.15681326604181683,0.08186957875263086,0.0,0.0,0.0,0.051830047896521084,243
DNASE1L3,2.259,6.45e-31,0,0,0,deoxyribonuclease 1L3,Nucleus,enzyme,,,,,,,,,,,,,,,2.259,6.45e-31,30.190440285364733,0.046503244412400835,0.1700991608502414,0.0,0.0,0.0,0.05182543909504052,244
AURKB,2.215,9.1e-32,0,0,0,aurora kinase B,Nucleus,kinase,,,,,,,,,,,,,,,2.215,9.1e-32,31.040958607678906,0.03857245854361929,0.1757589385158551,0.0,0.0,0.0,0.05165422633768764,245
FLVCR2,2.412,1.93e-27,0,0,0,FLVCR choline and putative heme transporter 2,Plasma Membrane,transporter,,,,,,,,,,,,,,,2.412,1.93e-27,26.714442690992225,0.07408074981975488,0.14696812059607345,0.0,0.0,0.0,0.05155818011296934,246
SCN7A,-2.519,4.92e-25,0,0,0,sodium voltage-gated channel alpha subunit 7,Plasma Membrane,ion channel,,,,,,,,,,,,,,,2.519,4.92e-25,24.30803489723264,0.09336697909156455,0.1309546700587336,0.0,0.0,0.0,0.051412063332996305,247
PBK,2.533,1.13e-24,0,0,0,PDZ binding kinase,Cytoplasm,kinase,,,,,,,,,,,,,,,2.533,1.13e-24,23.946921556516582,0.0958904109589041,0.1285516398512492,0.0,0.0,0.0,0.05131599215459312,248
MREG,2.246,9.01e-31,0,0,0,melanoregulin,Cytoplasm,other,,,,,,,,,,,,,,,2.246,9.01e-31,30.045275209020936,0.044160057678442666,0.16913315925408268,0.0,0.0,0.0,0.051115301349209205,249
POLR3G,2.21,1.55e-31,0,0,0,RNA polymerase III subunit G,Nucleus,enzyme,,,,,,,,,,,,,,,2.21,1.55e-31,30.80966830182971,0.03767123287671231,0.17421981622657104,0.0,0.0,0.0,0.05108920063198522,250
PGLYRP4,2.337,1.53e-28,0,0,0,peptidoglycan recognition protein 4,Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,,2.337,1.53e-28,27.815308569182402,0.060562364816150016,0.15429383709946873,0.0,0.0,0.0,0.050685932238097184,251
GABRP,-2.768,3.38e-19,0,0,0,gamma-aminobutyric acid type A receptor subunit pi,Plasma Membrane,ion channel,,,,,,,,,,,,,,,2.768,3.38e-19,18.471083299722345,0.13824801730353276,0.09211265170342064,0.0,0.0,0.0,0.05067776638656171,252
GALNT6,2.669,3.0300000000000007e-21,0,0,0,polypeptide N-acetylgalactosaminyltransferase 6,Cytoplasm,enzyme,,,,,,,,,,,,,,,2.669,3.0300000000000007e-21,20.518557371497696,0.12040374909877433,0.10573757631507025,0.0,0.0,0.0,0.05051514389852243,253
ZNF667-AS1,-2.539,6.689999999999999e-24,0,0,0,ZNF667 antisense RNA 1 (head to head),Other,other,,,,,,,,,,,,,,,2.539,6.689999999999999e-24,23.174573882232178,0.09697188175919252,0.12341204908369272,0.0,0.0,0.0,0.050247388622761686,254
DANT2,-2.562,3.0199999999999995e-23,0,0,0,"DXZ4 associated non-coding transcript 2, distal",Other,other,,,,,,,,,,,,,,,2.562,3.0199999999999995e-23,22.51999305704285,0.10111751982696465,0.11905613829665024,0.0,0.0,0.0,0.049987538539555496,255
NFIL3,-2.339,5.27e-28,0,0,0,"nuclear factor, interleukin 3 regulated",Nucleus,transcription regulator,,,,,,,,,,,,,,,2.339,5.27e-28,27.278189384787453,0.060922855082912786,0.15071957528305102,0.0,0.0,0.0,0.049864464837345315,256
C7,-2.662,5.72e-21,0,0,0,complement C7,Extracellular Space,other,,,,,,,,,,,,,,,2.662,5.72e-21,20.242603971206975,0.11914203316510452,0.10390124328056727,0.0,0.0,0.0,0.04980371745316273,257
CD3D,2.721,1.16e-19,0,0,0,CD3 delta subunit of T-cell receptor complex,Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,,2.721,1.16e-19,18.93554201077308,0.12977649603460711,0.09520339410183504,0.0,0.0,0.0,0.049756147732380185,258
SOX5,-2.224,2.46e-30,0,0,0,SRY-box transcription factor 5,Nucleus,transcription regulator,,,,,,,,,,,,,,,2.224,2.46e-30,29.609064892896622,0.04019466474405198,0.16623039591561256,0.0,0.0,0.0,0.04959653192771354,259
AIM2,2.776,3.15e-18,0,0,0,absent in melanoma 2,Cytoplasm,other,,,,,,,,,,,,,,,2.776,3.15e-18,17.5016894462104,0.139689978370584,0.08566181632769143,0.0,0.0,0.0,0.049353449756039655,260
KRT6A,2.738,5.32e-19,0,0,0,keratin 6A,Other,other,,,,,,,,,,,,,,,2.738,5.32e-19,18.27408836770495,0.13284066330209082,0.09080174812001815,0.0,0.0,0.0,0.0492685696904227,261
BAG4,-2.2,1.25e-30,0,0,0,BAG cochaperone 4,Cytoplasm,other,,,,,,,,,,,,,,,2.2,1.25e-30,29.903089986991944,0.03586878154289841,0.1681869871106885,0.0,0.0,0.0,0.04922050308625181,262
DDIT3,-2.215,4.84e-30,0,0,0,DNA damage inducible transcript 3,Nucleus,transcription regulator,,,,,,,,,,,,,,,2.215,4.84e-30,29.315154638355587,0.03857245854361929,0.16427456892082182,0.0,0.0,0.0,0.048783133938929316,263
C12ORF56,2.278,1.2799999999999999e-28,0,0,0,chromosome 12 open reading frame 56,Other,other,,,,,,,,,,,,,,,2.278,1.2799999999999999e-28,27.89279003035213,0.04992790194664748,0.154809437800738,0.0,0.0,0.0,0.048687939839514,264
TSC22D3,-2.606,1.65e-21,0,0,0,TSC22 domain family member 3,Nucleus,transcription regulator,,,,,,,,,,,,,,,2.606,1.65e-21,20.782516055786093,0.1090483056957462,0.1074940904627201,0.0,0.0,0.0,0.048683183754829266,265
SMOX,2.096,1.5600000000000002e-32,0,0,0,spermine oxidase,Cytoplasm,enzyme,,,,,,,,,,,,,,,2.096,1.5600000000000002e-32,31.806875401645538,0.01712328767123289,0.18085573496395038,0.0,0.0,0.0,0.04863859127523417,266
NEDD9,-2.684,8.85e-20,0,0,0,"neural precursor cell expressed, developmentally down-regulated 9",Nucleus,other,,,,,,,,,,,,,,,2.684,8.85e-20,19.053056729302174,0.12310742609949538,0.09598539627846323,0.0,0.0,0.0,0.04861783428951488,267
TMEM54,2.13,9.41e-32,0,0,0,transmembrane protein 54,Other,other,,,,,,,,,,,,,,,2.13,9.41e-32,31.026410376572745,0.023251622206200417,0.17566212725226613,0.0,0.0,0.0,0.048565856254306615,268
ALOX12B,2.349,6.6e-27,0,0,0,"arachidonate 12-lipoxygenase, 12R type",Cytoplasm,enzyme,,,,,,,,,,,,,,,2.349,6.6e-27,26.18045606445813,0.0627253064167268,0.14341470439879406,0.0,0.0,0.0,0.04839873738304387,269
XDH,2.817,1.78e-16,0,0,0,xanthine dehydrogenase,Cytoplasm,enzyme,,,,,,,,,,,,,,,2.817,1.78e-16,15.749579997691106,0.1470800288392214,0.07400239681341413,0.0,0.0,0.0,0.04791660497119781,270
MMP1,2.981,7.66e-13,0,0,0,matrix metallopeptidase 1,Extracellular Space,peptidase,,,,,,,,,,,,,,,2.981,7.66e-13,12.115771230367397,0.17664023071377072,0.0498212014613251,0.0,0.0,0.0,0.04778334650808542,271
GBP5,2.67,1.52e-19,0,0,0,guanylate binding protein 5,Cytoplasm,enzyme,,,,,,,,,,,,,,,2.67,1.52e-19,18.818156412055227,0.12058399423215571,0.09442225115352054,0.0,0.0,0.0,0.04772236163481128,272
ZBTB20,-2.462,5.26e-24,0,0,0,zinc finger and BTB domain containing 20,Nucleus,transcription regulator,,,,,,,,,,,,,,,2.462,5.26e-24,23.27901425584626,0.08309300648882484,0.12410704797843841,0.0,0.0,0.0,0.04764536329237457,273
GRIA2,-2.573,1.92e-21,0,0,0,glutamate ionotropic receptor AMPA type subunit 2,Plasma Membrane,ion channel,,,,,,,,,,,,,,,2.573,1.92e-21,20.71669877129645,0.10310021629416005,0.10705610907302793,0.0,0.0,0.0,0.047384070527089,274
CXCL11,3.064,8.93e-11,0,0,0,C-X-C motif chemokine ligand 11,Extracellular Space,cytokine,,,,,,,,,,,,,,,3.064,8.93e-11,10.049148541111453,0.19160057678442682,0.03606885229608191,0.0,0.0,0.0,0.04733732843090585,275
KLHL24,-2.189,1.36e-29,0,0,0,kelch like family member 24,Plasma Membrane,other,,,,,,,,,,,,,,,2.189,1.36e-29,28.866461091629784,0.033886085075702954,0.16128873587309397,0.0,0.0,0.0,0.047099400983414086,276
CD300LG,-2.788,2.28e-16,0,0,0,CD300 molecule like family member g,Plasma Membrane,other,,,,,,,,,,,,,,,2.788,2.28e-16,15.642065152999546,0.14185291997116073,0.07328693883826842,0.0,0.0,0.0,0.04669231870379925,277
OIP5,2.19,3.1999999999999997e-29,0,0,0,Opa interacting protein 5,Nucleus,other,,,,,,,,,,,,,,,2.19,3.1999999999999997e-29,28.494850021680094,0.03406633020908434,0.15881584848335098,0.0,0.0,0.0,0.04651722816265461,278
ZFP36L1,-2.217,1.25e-28,0,0,0,ZFP36 ring finger protein like 1,Nucleus,transcription regulator,,,,,,,,,,,,,,,2.217,1.25e-28,27.903089986991944,0.03893294881038217,0.15487797890445953,0.0,0.0,0.0,0.04650608448819132,279
RAB27A,2.191,3.43e-29,0,0,0,"RAB27A, member RAS oncogene family",Cytoplasm,enzyme,,,,,,,,,,,,,,,2.191,3.43e-29,28.46470587995723,0.034246575342465724,0.15861525416857133,0.0,0.0,0.0,0.04650312861063598,280
CCNA2,2.289,5.48e-27,0,0,0,cyclin A2,Nucleus,other,,,,,,,,,,,,,,,2.289,5.48e-27,26.26121944151563,0.05191059841384288,0.14395214462280456,0.0,0.0,0.0,0.04637015583846972,281
FABP5,2.132,2.38e-30,0,0,0,fatty acid binding protein 5,Cytoplasm,transporter,,,,,,,,,,,,,,,2.132,2.38e-30,29.62342304294349,0.023612112472963243,0.16632594228401257,0.0,0.0,0.0,0.04630390806559579,282
GK4P,2.618,1.2e-19,0,0,0,glycerol kinase 4 pseudogene,Other,other,,,,,,,,,,,,,,,2.618,1.2e-19,18.920818753952375,0.11121124729632298,0.09510541812891044,0.0,0.0,0.0,0.046018603991492206,283
SLURP2,2.475,1.09e-22,0,0,0,secreted LY6/PLAUR domain containing 2,Cytoplasm,other,,,,,,,,,,,,,,,2.475,1.09e-22,21.962573502059378,0.08543619322278301,0.11534678758085648,0.0,0.0,0.0,0.04592393553977073,284
ID4,-2.407,4.02e-24,0,0,0,inhibitor of DNA binding 4,Nucleus,transcription regulator,,,,,,,,,,,,,,,2.407,4.02e-24,23.39577394691553,0.0731795241528479,0.12488402582173727,0.0,0.0,0.0,0.0458569112860039,285
AURKA,2.346,1.93e-25,0,0,0,aurora kinase A,Nucleus,kinase,,,,,,,,,,,,,,,2.346,1.93e-25,24.714442690992225,0.06218457101658259,0.13365911238984446,0.0,0.0,0.0,0.04585169230077763,286
TRBC1,2.685,5.51e-18,0,0,0,T cell receptor beta constant 1,Plasma Membrane,other,,,,,,,,,,,,,,,2.685,5.51e-18,17.258848401148214,0.1232876712328767,0.08404582959692052,0.0,0.0,0.0,0.04566899164580547,287
THRSP,-2.941,2.06e-12,0,0,0,thyroid hormone responsive,Nucleus,other,,,,,,,,,,,,,,,2.941,2.06e-12,11.686132779630846,0.16943042537851477,0.04696217062804296,0.0,0.0,0.0,0.0456266277327137,288
WEE1,-2.85,2.66e-14,0,0,0,WEE1 G2 checkpoint kinase,Nucleus,kinase,,,,,,,,,,,,,,,2.85,2.66e-14,13.575118363368933,0.15302811824080748,0.05953243294575218,0.0,0.0,0.0,0.04548873188459954,289
KMT2A,-2.136,1.0700000000000001e-29,0,0,0,lysine methyltransferase 2A,Nucleus,enzyme,,,,,,,,,,,,,,,2.136,1.0700000000000001e-29,28.970616222314792,0.024333093006488837,0.1619818366175978,0.0,0.0,0.0,0.045362077755697214,290
PCGF5,2.078,8.11e-31,0,0,0,polycomb group ring finger 5,Cytoplasm,enzyme,,,,,,,,,,,,,,,2.078,8.11e-31,30.090979145788843,0.013878875270367685,0.1694372962888332,0.0,0.0,0.0,0.04513509912628184,291
RHOBTB3,-2.42,2.25e-23,0,0,0,Rho related BTB domain containing 3,Cytoplasm,enzyme,,,,,,,,,,,,,,,2.42,2.25e-23,22.647817481888637,0.07552271088680607,0.11990674645626478,0.0,0.0,0.0,0.04508122879142741,292
MFSD4A,-2.545,1.3e-20,0,0,0,major facilitator superfamily domain containing 4A,Other,other,,,,,,,,,,,,,,,2.545,1.3e-20,19.886056647693163,0.09805335255948089,0.10152859765329011,0.0,0.0,0.0,0.04499281992521871,293
WDR33,-2.248,7.17e-27,0,0,0,WD repeat domain 33,Nucleus,other,,,,,,,,,,,,,,,2.248,7.17e-27,26.1444808443322,0.044520547945205546,0.1431753071488556,0.0,0.0,0.0,0.04469793637625501,294
LPP,-2.442,1.4000000000000002e-22,0,0,0,LIM domain containing preferred translocation partner in lipoma,Nucleus,other,,,,,,,,,,,,,,,2.442,1.4000000000000002e-22,21.853871964321762,0.07948810382119686,0.11462343275196665,0.0,0.0,0.0,0.04455347895223104,295
ZBTB10,-2.064,9.45e-31,0,0,0,zinc finger and BTB domain containing 10,Nucleus,transcription regulator,,,,,,,,,,,,,,,2.064,9.45e-31,30.024568191490737,0.011355443403028131,0.1689953643209647,0.0,0.0,0.0,0.0445199297608468,296
MAD2L1,2.447,2.34e-22,0,0,0,mitotic arrest deficient 2 like 1,Nucleus,other,,,,,,,,,,,,,,,2.447,2.34e-22,21.630784142589857,0.08038932948810384,0.11313889392689683,0.0,0.0,0.0,0.04436258937934498,297
NR3C2,-2.275,4.93e-26,0,0,0,nuclear receptor subfamily 3 group C member 2,Nucleus,ligand-dependent nuclear receptor,,,,,,,,,,,,,,,2.275,4.93e-26,25.30715308072277,0.049387166546503214,0.13760330611026497,0.0,0.0,0.0,0.04427825983686689,298
PPP1R3B,-2.443,2.86e-22,0,0,0,protein phosphatase 1 regulatory subunit 3B,Cytoplasm,phosphatase,,,,,,,,,,,,,,,2.443,2.86e-22,21.543633966870956,0.07966834895457825,0.11255895272498825,0.0,0.0,0.0,0.04407340797216271,299
FADS1,-2.874,7e-13,0,0,0,fatty acid desaturase 1,Plasma Membrane,enzyme,,,,,,,,,,,,,,,2.874,7e-13,12.154901959985743,0.15735400144196104,0.05008159706212824,0.0,0.0,0.0,0.043991199553924276,300
BRIP1,2.107,2.56e-29,0,0,0,BRCA1 interacting helicase 1,Nucleus,enzyme,,,,,,,,,,,,,,,2.107,2.56e-29,28.59176003468815,0.01910598413842829,0.15946073656254597,0.0,0.0,0.0,0.04368638096832215,301
AHNAK2,-2.572,3.29e-19,0,0,0,AHNAK nucleoprotein 2,Cytoplasm,other,,,,,,,,,,,,,,,2.572,3.29e-19,18.482804102050025,0.10291997116077867,0.09219064783060199,0.0,0.0,0.0,0.04363165618980623,302
AFTPH-DT,2.093,1.4999999999999998e-29,0,0,0,AFTPH divergent transcript,Other,other,,,,,,,,,,,,,,,2.093,1.4999999999999998e-29,28.82390874094432,0.01658255227108868,0.1610055710808604,0.0,0.0,0.0,0.04356790322443283,303
KRT16,2.964,1.14e-10,0,0,0,keratin 16,Cytoplasm,other,,,,,,,,,,,,,,,2.964,1.14e-10,9.943095148663527,0.1735760634462869,0.03536311956088797,0.0,0.0,0.0,0.043555992579479376,304
SPATA20,2.066,4.13e-30,0,0,0,spermatogenesis associated 20,Cytoplasm,other,,,,,,,,,,,,,,,2.066,4.13e-30,29.3840499483436,0.011715933669790901,0.1647330330438224,0.0,0.0,0.0,0.04352644499491378,305
DDX60L,2.148,5.13e-28,0,0,0,DExD/H-box 60 like,Other,other,,,,,,,,,,,,,,,2.148,5.13e-28,27.289882634888183,0.02649603460706562,0.1507973880638251,0.0,0.0,0.0,0.0429985539373694,306
PIP,-3.072,5.89e-08,0,0,0,prolactin induced protein,Extracellular Space,peptidase,,,,,,,,,,,,,,,3.072,5.89e-08,7.229884705212898,0.193042537851478,0.017308049532332666,0.0,0.0,0.0,0.04293551995337877,307
SNORD3B-2,-2.771,2.31e-14,0,0,0,"small nucleolar RNA, C/D box 3B-2",Other,other,,,,,,,,,,,,,,,2.771,2.31e-14,13.636388020107855,0.13878875270367697,0.059940152127917756,0.0,0.0,0.0,0.04274278857271484,308
KRT6B,2.716,1.74e-15,0,0,0,keratin 6B,Other,other,,,,,,,,,,,,,,,2.716,1.74e-15,14.7594507517174,0.12887527036770013,0.06741357768346845,0.0,0.0,0.0,0.04262844849440714,309
PRR15L,-2.342,1.56e-23,0,0,0,proline rich 15 like,Other,other,,,,,,,,,,,,,,,2.342,1.56e-23,22.806875401645538,0.061463590483056996,0.12096519803591996,0.0,0.0,0.0,0.04253401760559139,310
ZNF415,-2.023,1.93e-30,0,0,0,zinc finger protein 415,Nucleus,transcription regulator,,,,,,,,,,,,,,,2.023,1.93e-30,29.714442690992225,0.003965392934390799,0.16693163290541693,0.0,0.0,0.0,0.04252598681323239,311
CDC20,2.412,6.21e-22,0,0,0,cell division cycle 20,Nucleus,other,,,,,,,,,,,,,,,2.412,6.21e-22,21.20690839982342,0.07408074981975488,0.11031821105744685,0.0,0.0,0.0,0.04239570272831269,312
IFITM10,2.252,2.97e-25,0,0,0,interferon induced transmembrane protein 10,Other,other,,,,,,,,,,,,,,,2.252,2.97e-25,24.527243550682787,0.04524152847873103,0.1324133949425558,0.0,0.0,0.0,0.04215165443138516,313
CRABP2,2.29,2.19e-24,0,0,0,cellular retinoic acid binding protein 2,Cytoplasm,transporter,,,,,,,,,,,,,,,2.29,2.19e-24,23.659555885159882,0.052090843547224264,0.1266393638121118,0.0,0.0,0.0,0.042078009662472805,314
TCIM,-2.366,1.0300000000000001e-22,0,0,0,transcriptional and immune response regulator,Nucleus,other,,,,,,,,,,,,,,,2.366,1.0300000000000001e-22,21.987162775294827,0.06578947368421056,0.11551041700049439,0.0,0.0,0.0,0.04203549898696571,315
PRR11,2.161,4.47e-27,0,0,0,proline rich 11,Cytoplasm,other,,,,,,,,,,,,,,,2.161,4.47e-27,26.349692476868064,0.02883922134102379,0.14454088879957233,0.0,0.0,0.0,0.04190306646809784,316
FADS2,-2.78,1.5e-13,0,0,0,fatty acid desaturase 2,Plasma Membrane,enzyme,,,,,,,,,,,,,,,2.78,1.5e-13,12.823908740944319,0.14041095890410954,0.0545335054310285,0.0,0.0,0.0,0.04171556813857903,317
GINS2,2.269,1.38e-24,0,0,0,GINS complex subunit 2,Nucleus,other,,,,,,,,,,,,,,,2.269,1.38e-24,23.860120913598763,0.048305695746214905,0.1279740246167996,0.0,0.0,0.0,0.041654645303442886,318
INSIG1,-2.165,7.78e-27,0,0,0,insulin induced gene 1,Cytoplasm,other,,,,,,,,,,,,,,,2.165,7.78e-27,26.109020403010312,0.029560201874549386,0.14293933549658083,0.0,0.0,0.0,0.04164687424905508,319
TRIM14,2.019,6.16e-30,0,0,0,tripartite motif containing 14,Cytoplasm,enzyme,,,,,,,,,,,,,,,2.019,6.16e-30,29.210419287835574,0.003244412400865204,0.16357760710104527,0.0,0.0,0.0,0.04154328425543436,320
CHEK1,2.16,8.95e-27,0,0,0,checkpoint kinase 1,Nucleus,kinase,,,,,,,,,,,,,,,2.16,8.95e-27,26.04817696468409,0.028658976207642406,0.1425344525865914,0.0,0.0,0.0,0.04136540838817633,321
NFAT5,-2.194,5.99e-26,0,0,0,nuclear factor of activated T cells 5,Nucleus,transcription regulator,,,,,,,,,,,,,,,2.194,5.99e-26,25.222573177610688,0.034787310742609934,0.13704046879796458,0.0,0.0,0.0,0.041217579348013136,322
SORBS2,-2.595,2.99e-17,0,0,0,sorbin and SH3 domain containing 2,Plasma Membrane,other,,,,,,,,,,,,,,,2.595,2.99e-17,16.52432881167557,0.10706560922855085,0.07915796597495683,0.0,0.0,0.0,0.041202613339449384,323
GJB2,2.566,1.31e-17,0,0,0,gap junction protein beta 2,Plasma Membrane,transporter,,,,,,,,,,,,,,,2.566,1.31e-17,16.882728704344235,0.10183850036049025,0.08154293953127625,0.0,0.0,0.0,0.040753434954917116,324
FABP4,-2.951,4.1e-09,0,0,0,fatty acid binding protein 4,Cytoplasm,transporter,,,,,,,,,,,,,,,2.951,4.1e-09,8.387216143280265,0.17123287671232873,0.025009516335615354,0.0,0.0,0.0,0.04049895442636958,325
